accuracy,compute_energy,communication_energy,total_energy
0.1108,0.257,0.097506,0.354506
0.4107,0.29500000000000004,0.11104850000000001,0.4060485
0.6443,0.224,0.09073475,0.31473475
0.7549,0.1575,0.06094125,0.21844124999999998
0.8015,0.20450000000000002,0.07990074999999999,0.28440075
0.829,0.14750000000000002,0.05552425,0.20302425
0.8499,0.22899999999999998,0.0893805,0.31838049999999996
0.8689,0.162,0.06771250000000001,0.2297125
0.8734,0.25700000000000006,0.097506,0.354506
0.879,0.195,0.07448375000000002,0.26948375
0.8798,0.2335,0.08802625,0.32152625
0.887,0.30949999999999994,0.11511125,0.42461124999999994
0.8915,0.2335,0.08802625,0.32152625000000007
0.8956,0.172,0.065004,0.23700400000000002
0.8956,0.20500000000000002,0.07990075,0.28490075
0.8983,0.2145,0.08531775,0.29981775000000005
0.9001,0.295,0.1110485,0.4060485
0.9029,0.17600000000000002,0.07177524999999998,0.24777525000000003
0.9034,0.1335,0.059587,0.193087
0.9058,0.2475,0.09208899999999999,0.33958900000000003
0.9058,0.21450000000000002,0.08531775000000001,0.29981775
0.9061,0.2195,0.0839635,0.3034635
0.9076,0.248,0.09208899999999999,0.340089
0.9056,0.233,0.08802624999999999,0.32102624999999996
0.9074,0.205,0.07990074999999999,0.28490075000000004
0.9092,0.214,0.08531775,0.29931775
0.9091,0.18100000000000002,0.070421,0.251421
0.9099,0.21,0.08667199999999999,0.29667200000000005
0.9092,0.19999999999999996,0.081255,0.281255
0.9091,0.2005,0.08125500000000001,0.28175500000000003
0.9119,0.257,0.097506,0.354506
0.9105,0.257,0.09750600000000001,0.35450600000000004
0.9124,0.19,0.07583799999999999,0.26583799999999996
0.9123,0.19999999999999998,0.081255,0.281255
0.912,0.2285,0.08938049999999999,0.3178805
0.9121,0.2335,0.08802625,0.32152625
0.9134,0.17600000000000002,0.07177524999999998,0.24777525
0.9138,0.262,0.09615175,0.35815175
0.9136,0.267,0.10292300000000001,0.36992300000000006
0.914,0.1665,0.06635825,0.23285825
0.9126,0.22850000000000004,0.0893805,0.3178805
0.915,0.20500000000000002,0.07990075,0.28490075000000004
0.9146,0.2005,0.08125500000000001,0.281755
0.9147,0.24349999999999997,0.09344324999999999,0.33694325
0.9143,0.2665,0.10292299999999999,0.36942300000000006
0.9141,0.239,0.09479749999999999,0.3337975
0.9164,0.162,0.0677125,0.22971250000000001
0.9168,0.243,0.09344324999999999,0.33644325
0.9172,0.195,0.07448375,0.26948375
0.917,0.23349999999999999,0.08802624999999999,0.32152624999999996
0.9169,0.257,0.09750599999999998,0.35450599999999993
0.9162,0.2145,0.08531775,0.29981775000000005
0.9162,0.13349999999999998,0.0514615,0.1849615
0.9172,0.2815,0.10698574999999999,0.38848575
0.9183,0.20049999999999996,0.081255,0.281755
0.9179,0.20950000000000002,0.0785465,0.2880465
0.9197,0.2955,0.11104849999999998,0.40654850000000003
0.9196,0.247,0.09208899999999999,0.339089
0.9204,0.2575,0.09750600000000001,0.355006
0.918,0.2955,0.1110485,0.4065484999999999
0.9182,0.21,0.086672,0.29667200000000005
0.9199,0.20500000000000002,0.07990075,0.28490075
0.9181,0.086,0.0406275,0.1266275
0.9177,0.2665,0.10292299999999999,0.36942299999999995
0.9195,0.229,0.0893805,0.3183805
0.9189,0.1905,0.07583799999999999,0.26633799999999996
0.9195,0.1955,0.07448375,0.26998374999999997
0.9195,0.17150000000000004,0.0731295,0.24462950000000006
0.919,0.21450000000000002,0.08531775,0.29981775000000005
0.9186,0.229,0.0893805,0.3183805
0.9179,0.23299999999999998,0.08802624999999999,0.32102624999999996
0.9195,0.257,0.09750599999999998,0.354506
0.9197,0.233,0.08802625,0.32102625
0.9198,0.252,0.09886025,0.35086025
0.9201,0.2145,0.08531775,0.29981775000000005
0.9191,0.224,0.08260925,0.30660924999999994
0.9201,0.23800000000000004,0.0947975,0.3327975
0.921,0.1805,0.07042099999999998,0.250921
0.9215,0.18100000000000002,0.0785465,0.2595465
0.9212,0.11899999999999998,0.05552424999999999,0.17452425000000005
0.9213,0.1335,0.059586999999999994,0.193087
0.9212,0.314,0.113757,0.42775699999999994
0.9201,0.1575,0.06094125,0.21844125
0.9207,0.2715,0.10156875,0.37306875
0.9218,0.205,0.07990074999999999,0.28490075000000004
0.9211,0.21000000000000002,0.086672,0.29667200000000005
0.9218,0.257,0.09750600000000001,0.354506
0.9221,0.257,0.09750600000000001,0.354506
0.9217,0.14300000000000002,0.0568785,0.1998785
0.9214,0.1665,0.06635825,0.23285825000000004
0.9208,0.253,0.09886025000000001,0.35186025
0.9224,0.276,0.10021449999999998,0.3762145
0.922,0.2145,0.08531774999999998,0.29981775
0.9219,0.186,0.07719225,0.26319225
0.9201,0.2335,0.08802625,0.32152625
0.9218,0.23850000000000002,0.09479750000000002,0.3332975
0.922,0.16649999999999998,0.06635825,0.23285825000000002
0.9227,0.19099999999999998,0.075838,0.26683799999999996
0.9226,0.19,0.07583799999999999,0.265838
0.9222,0.1715,0.0731295,0.2446295
