accuracy,compute_energy,communication_energy,total_energy
0.0961,0.23349999999999999,0.17605249999999997,0.4095525
0.7091,0.22450000000000003,0.18146950000000003,0.4059695
0.7853,0.17700000000000002,0.1435505,0.3205505
0.8315,0.1625,0.135425,0.297925
0.8533,0.13849999999999998,0.1164655,0.25496549999999996
0.8586,0.11499999999999999,0.09750600000000001,0.21250599999999997
0.8696,0.148,0.12729949999999998,0.2752995
0.8736,0.09549999999999999,0.092089,0.18758899999999995
0.8795,0.10449999999999998,0.10292299999999999,0.20742299999999997
0.8795,0.171,0.146259,0.317259
0.886,0.12349999999999997,0.10833999999999998,0.23183999999999996
0.8879,0.076,0.08667199999999999,0.16267199999999996
0.8907,0.0665,0.07583799999999999,0.14233799999999996
0.8912,0.067,0.059587,0.126587
0.8905,0.09049999999999998,0.09479749999999999,0.18529749999999995
0.8946,0.12349999999999998,0.10833999999999999,0.23184
0.8978,0.1425,0.13000799999999998,0.27250800000000003
0.8979,0.12349999999999998,0.10833999999999999,0.23184
0.8993,0.13299999999999998,0.11917399999999999,0.252174
0.8991,0.09499999999999999,0.09208899999999999,0.18708899999999998
0.8988,0.08549999999999999,0.08125499999999998,0.16675499999999996
0.9022,0.157,0.1381335,0.29513350000000005
0.9041,0.10949999999999999,0.11646549999999999,0.22596549999999993
0.9021,0.09999999999999998,0.10563149999999999,0.20563149999999997
0.9026,0.0665,0.07583799999999999,0.14233799999999996
0.9035,0.0955,0.09208899999999999,0.18758899999999995
0.9038,0.0665,0.07583799999999999,0.14233799999999996
0.904,0.119,0.1110485,0.2300485
0.9047,0.12399999999999999,0.10833999999999999,0.23233999999999996
0.9029,0.10949999999999999,0.1002145,0.20971449999999997
0.9062,0.09999999999999999,0.08938049999999999,0.18938049999999998
0.905,0.09499999999999999,0.09208899999999999,0.18708899999999998
0.9075,0.08099999999999999,0.08396349999999998,0.16496349999999996
0.9049,0.0905,0.09479749999999999,0.18529749999999998
0.9057,0.13299999999999998,0.11917399999999999,0.252174
0.9073,0.10449999999999998,0.10292299999999999,0.20742299999999997
0.9071,0.0715,0.0731295,0.14462949999999997
0.9073,0.08099999999999999,0.0839635,0.16496349999999999
0.908,0.0955,0.092089,0.18758899999999995
0.9079,0.07150000000000001,0.07312949999999999,0.14462949999999997
0.908,0.057,0.06500399999999999,0.12200399999999997
0.9083,0.1095,0.1002145,0.2097145
0.9099,0.11399999999999999,0.11375699999999998,0.22775699999999996
0.9107,0.157,0.1381335,0.2951335
0.9094,0.095,0.09208899999999999,0.18708899999999998
0.9098,0.157,0.1381335,0.29513350000000005
0.9121,0.10449999999999998,0.10292299999999997,0.20742299999999994
0.9106,0.1095,0.10021449999999998,0.20971449999999997
0.913,0.13299999999999998,0.11917399999999999,0.252174
0.9117,0.09499999999999999,0.09208899999999999,0.18708899999999998
0.9135,0.10499999999999998,0.10292299999999999,0.20792299999999997
0.9112,0.09499999999999997,0.09208899999999999,0.18708899999999998
0.9105,0.09049999999999998,0.09479749999999999,0.18529749999999995
0.9137,0.0955,0.09208899999999999,0.18758899999999995
0.9116,0.119,0.1110485,0.2300485
0.9139,0.12349999999999998,0.10833999999999999,0.23184
0.9128,0.1,0.08938049999999999,0.18938049999999998
0.9135,0.1425,0.13000799999999998,0.27250800000000003
0.9143,0.12349999999999998,0.10833999999999999,0.23184
0.9127,0.086,0.08125500000000001,0.167255
0.9133,0.1095,0.1002145,0.20971449999999997
0.9138,0.081,0.0839635,0.16496349999999999
0.9146,0.1425,0.13000799999999998,0.272508
0.9149,0.08099999999999999,0.08396349999999998,0.16496349999999996
0.9155,0.13299999999999998,0.11917399999999999,0.252174
0.9142,0.08549999999999998,0.081255,0.166755
0.9143,0.12849999999999998,0.12188249999999998,0.25038249999999995
0.9157,0.133,0.11917399999999999,0.252174
0.9147,0.095,0.09208899999999999,0.18708899999999998
0.9147,0.133,0.11917399999999997,0.25217399999999995
0.9151,0.138,0.1327165,0.27071649999999997
0.9145,0.08549999999999999,0.081255,0.166755
0.9142,0.1425,0.13000799999999998,0.27250800000000003
0.9141,0.10949999999999999,0.11646549999999999,0.22596549999999993
