accuracy,compute_energy,communication_energy,total_energy
0.0994,0.28049999999999997,0.21397149999999998,0.4944715
0.6296,0.21900000000000003,0.167927,0.386927
0.7131,0.20000000000000004,0.16251000000000002,0.36251000000000005
0.7924,0.267,0.205846,0.472846
0.8287,0.224,0.16521850000000002,0.38921849999999997
0.8534,0.219,0.167927,0.38692699999999997
0.8674,0.247,0.18417799999999998,0.431178
0.8744,0.257,0.195012,0.45201199999999997
0.8826,0.2195,0.167927,0.38742699999999997
0.8858,0.21900000000000003,0.167927,0.386927
0.8903,0.23399999999999999,0.1760525,0.41005249999999993
0.8897,0.23300000000000004,0.17605249999999997,0.40905250000000004
0.896,0.1765,0.1435505,0.32005049999999996
0.8983,0.20950000000000002,0.157093,0.366593
0.8985,0.2665,0.205846,0.47234600000000004
0.9007,0.171,0.13000799999999998,0.301008
0.9012,0.2005,0.16251,0.36301
0.9017,0.21900000000000003,0.167927,0.386927
0.9038,0.2145,0.1706355,0.3851355
0.9039,0.228,0.178761,0.40676100000000004
0.9047,0.1765,0.14355050000000003,0.3200505
0.9062,0.14300000000000002,0.113757,0.25675699999999996
0.9047,0.24750000000000003,0.18417799999999998,0.431678
0.9093,0.28099999999999997,0.21397149999999995,0.49497149999999995
0.9082,0.2195,0.16792700000000002,0.387427
0.9074,0.1955,0.1489675,0.3444675
0.9086,0.1285,0.10563149999999999,0.23413149999999996
0.9097,0.21900000000000003,0.167927,0.386927
0.9113,0.17600000000000002,0.14355049999999997,0.3195505
0.911,0.257,0.195012,0.452012
0.9112,0.229,0.17876099999999998,0.407761
0.9102,0.2285,0.178761,0.40726100000000004
0.9115,0.2285,0.17876099999999998,0.40726100000000004
0.9123,0.1855,0.1381335,0.3236335
0.9119,0.271,0.20313749999999997,0.47413750000000005
0.9132,0.186,0.15438450000000004,0.34038450000000003
0.9138,0.2195,0.167927,0.38742699999999997
0.9121,0.2995,0.2193885,0.5188885000000001
0.913,0.2285,0.17876099999999998,0.40726100000000004
0.9128,0.20900000000000002,0.15709299999999998,0.366093
0.9123,0.23850000000000002,0.189595,0.428095
0.9123,0.2285,0.17876099999999998,0.407261
0.9136,0.17600000000000002,0.14355049999999997,0.3195505
0.9157,0.21400000000000002,0.17063550000000002,0.3846355
0.9154,0.2475,0.18417799999999998,0.431678
0.9141,0.2,0.16251,0.36251
0.9138,0.12849999999999998,0.10563149999999999,0.2341315
0.9156,0.219,0.16792700000000002,0.386927
0.9149,0.2,0.16251,0.36251000000000005
0.915,0.2,0.146259,0.346259
0.9154,0.20450000000000002,0.1598015,0.36430150000000006
0.9159,0.295,0.222097,0.517097
0.9161,0.22850000000000004,0.178761,0.40726100000000004
0.9163,0.18100000000000002,0.14084200000000002,0.321842
0.9156,0.1955,0.1489675,0.3444675
0.9169,0.1855,0.1381335,0.3236335
0.9164,0.2335,0.1760525,0.4095525
0.9174,0.22850000000000004,0.17876099999999998,0.40726100000000004
0.9167,0.21450000000000002,0.17063550000000005,0.3851355000000001
0.9176,0.25700000000000006,0.19501200000000002,0.452012
0.9147,0.157,0.12188249999999999,0.2788825
0.9168,0.243,0.18688649999999998,0.4298865
0.9175,0.1995,0.16251000000000002,0.36201000000000005
0.9169,0.181,0.140842,0.32184199999999996
0.9166,0.25700000000000006,0.195012,0.452012
0.9166,0.20950000000000002,0.157093,0.366593
0.9174,0.257,0.195012,0.45201199999999997
0.9178,0.30899999999999994,0.2302225,0.5392224999999999
0.9184,0.181,0.140842,0.321842
0.9173,0.2145,0.1706355,0.3851355
0.9179,0.2335,0.1760525,0.4095525
0.9172,0.23800000000000004,0.189595,0.42759500000000006
0.9185,0.17650000000000002,0.14355050000000003,0.3200505
0.9185,0.21900000000000003,0.16792700000000002,0.3869270000000001
0.9186,0.257,0.19501200000000002,0.452012
0.9184,0.2475,0.18417799999999998,0.431678
0.9175,0.2525,0.1977205,0.4502205
0.9184,0.276,0.200429,0.476429
0.9196,0.20900000000000002,0.157093,0.36609300000000006
0.9199,0.257,0.195012,0.452012
0.9176,0.2715,0.2031375,0.47463750000000005
0.9191,0.181,0.140842,0.321842
0.9205,0.233,0.17605249999999997,0.4090525
0.9205,0.24250000000000002,0.18688649999999998,0.4293865
0.9214,0.23800000000000004,0.18959500000000004,0.42759500000000006
0.9188,0.2195,0.16792700000000002,0.387427
0.9208,0.219,0.167927,0.386927
0.9209,0.20950000000000002,0.157093,0.366593
0.9198,0.2665,0.20584600000000003,0.47234600000000004
0.9205,0.229,0.178761,0.407761
0.9208,0.18600000000000003,0.1543845,0.34038450000000003
0.9183,0.281,0.2139715,0.4949715
0.9209,0.21900000000000003,0.167927,0.386927
0.9195,0.17149999999999999,0.13000799999999998,0.301508
0.9198,0.19049999999999997,0.15167599999999998,0.34217600000000004
0.9202,0.14750000000000002,0.1110485,0.2585485
0.9222,0.2525,0.19772050000000002,0.4502205
0.9219,0.2615,0.19230349999999996,0.4538035
0.9217,0.16699999999999998,0.1327165,0.2997165
0.9198,0.2285,0.17876099999999998,0.40726100000000004
