accuracy,compute_energy,communication_energy,total_energy
0.1012,0.2005,0.081255,0.28175500000000003
0.7097,0.177,0.07177525,0.24877525000000003
0.7357,0.1485,0.06364975,0.21214975000000003
0.8132,0.20049999999999998,0.081255,0.28175500000000003
0.8392,0.11949999999999998,0.05552425,0.17502425000000005
0.856,0.1335,0.0514615,0.1849615
0.8725,0.1145,0.048753,0.16325300000000004
0.8763,0.162,0.0677125,0.2297125
0.8789,0.138,0.05823274999999999,0.19623274999999998
0.8865,0.12399999999999997,0.054169999999999996,0.17817
0.8849,0.1335,0.059586999999999994,0.193087
0.8876,0.13799999999999998,0.05823274999999999,0.19623275
0.8928,0.15700000000000003,0.06906675,0.22606675000000004
0.894,0.13349999999999998,0.059586999999999994,0.193087
0.8957,0.1235,0.05416999999999999,0.17767
0.8961,0.1475,0.06364974999999999,0.21114975000000002
0.8977,0.105,0.05146149999999999,0.15646150000000003
0.8986,0.13799999999999998,0.06635825,0.20435825000000002
0.8998,0.062,0.031147750000000002,0.09314775
0.9026,0.0905,0.047398749999999996,0.13789875000000001
0.9044,0.119,0.05552425,0.17452425
0.9023,0.0475,0.027084999999999998,0.074585
0.9012,0.143,0.065004,0.20800400000000002
0.9046,0.119,0.05552425,0.17452425000000002
0.9044,0.12349999999999997,0.054169999999999996,0.17767
0.9051,0.095,0.037918999999999994,0.132919
0.9031,0.09999999999999999,0.05281574999999999,0.15281575000000003
0.907,0.10450000000000001,0.05146149999999999,0.1559615
0.9079,0.057,0.032501999999999996,0.089502
0.9065,0.10049999999999999,0.04469025,0.14519025000000002
0.9071,0.07150000000000001,0.03656475,0.10806475
0.9092,0.10499999999999998,0.0514615,0.1564615
0.9081,0.0665,0.037918999999999994,0.104419
0.9079,0.133,0.059586999999999994,0.192587
0.9101,0.114,0.04875299999999999,0.16275299999999998
0.9114,0.09499999999999999,0.046044499999999995,0.14104450000000002
0.9107,0.076,0.04333599999999999,0.119336
0.9099,0.1335,0.059586999999999994,0.193087
0.9105,0.0905,0.039273249999999996,0.12977325
0.9102,0.10449999999999998,0.05146149999999999,0.15596150000000003
0.9116,0.105,0.05146149999999999,0.15646150000000003
0.9127,0.105,0.05146149999999999,0.15646150000000003
0.91,0.0715,0.03656475,0.10806475
0.9112,0.09049999999999998,0.04739874999999999,0.13789875000000001
0.9129,0.11899999999999997,0.05552424999999999,0.17452425000000005
0.9127,0.12849999999999998,0.06094124999999999,0.18944125000000006
0.9125,0.08549999999999999,0.04062749999999999,0.1261275
0.9119,0.138,0.06635825,0.20435825000000002
0.9142,0.062,0.031147749999999995,0.09314775
0.9118,0.0665,0.029793499999999994,0.0962935
0.9092,0.157,0.06906675,0.22606675
0.9134,0.10449999999999997,0.05146149999999999,0.15596150000000003
0.9139,0.11399999999999998,0.05687849999999999,0.17087850000000004
0.9146,0.12349999999999998,0.05416999999999999,0.17767
0.9143,0.10449999999999998,0.051461499999999986,0.15596150000000003
0.9137,0.12399999999999997,0.0622955,0.18629550000000006
0.915,0.062,0.031147749999999995,0.09314775
0.9144,0.10450000000000001,0.05146149999999999,0.1559615
0.9169,0.133,0.05958699999999999,0.192587
0.9156,0.14250000000000002,0.06500399999999999,0.207504
0.9157,0.076,0.04333599999999999,0.119336
0.9164,0.0905,0.04739874999999999,0.13789875000000001
0.9157,0.09499999999999999,0.046044499999999995,0.14104450000000002
0.9153,0.09499999999999999,0.046044499999999995,0.14104450000000002
0.9145,0.11899999999999997,0.05552425,0.17452425000000002
0.9152,0.10949999999999999,0.05010725,0.15960725
0.9171,0.114,0.05687849999999999,0.1708785
0.9168,0.062,0.031147749999999995,0.09314775
0.9154,0.09499999999999999,0.04604449999999999,0.14104450000000002
0.9168,0.09999999999999999,0.052815749999999995,0.15281575000000003
0.9172,0.10999999999999999,0.05010725,0.16010725
0.9158,0.10949999999999999,0.05010725,0.15960725000000003
0.9166,0.1235,0.05416999999999999,0.17767
0.9182,0.062,0.031147749999999995,0.09314775
0.9157,0.10500000000000001,0.043336,0.148336
0.9175,0.1095,0.05010725,0.15960724999999998
0.918,0.1045,0.05146149999999999,0.15596149999999998
0.9172,0.13299999999999998,0.059586999999999994,0.192587
0.9197,0.11399999999999999,0.05687849999999999,0.1708785
0.9157,0.143,0.06500399999999999,0.20800400000000002
0.9183,0.09499999999999999,0.04604449999999999,0.14104450000000002
0.9177,0.081,0.04198175,0.12298175
0.9187,0.086,0.040627500000000004,0.1266275
0.9189,0.09999999999999999,0.044690249999999994,0.14469025000000002
0.9164,0.062,0.031147749999999995,0.09314775
0.9172,0.11899999999999998,0.05552424999999999,0.17452425000000005
0.9185,0.1285,0.052815749999999995,0.18131575
0.9214,0.08549999999999999,0.04875299999999999,0.134253
0.9181,0.10499999999999998,0.0514615,0.15646150000000003
0.9191,0.13799999999999998,0.06635825,0.20435825000000005
0.9201,0.0765,0.035210500000000006,0.1117105
0.9204,0.09999999999999999,0.04469025,0.14469025000000002
0.9201,0.133,0.05958699999999999,0.192587
0.9209,0.0475,0.027084999999999998,0.074585
0.9187,0.0665,0.037918999999999994,0.104419
0.9183,0.0905,0.039273249999999996,0.12977325
0.9169,0.08099999999999999,0.04198175,0.12298175
0.9195,0.1095,0.05010725,0.15960724999999998
0.9202,0.076,0.04333599999999999,0.119336
0.9209,0.09049999999999998,0.04739874999999999,0.13789875000000001
