run,rounds,final_accuracy,peak_accuracy,total_compute_E,total_comm_E,total_energy,total_carbon
baseline_NQ,30,0.9823,0.9833,5.8786,217.65691199999998,223.53551199999998,0.01852138586365054
baseline_Q,30,0.9834,0.9834,7.1049,128.8215625,135.92646249999999,0.01149798252783085
proposed_NQ,30,0.9823,0.9842,5.7212,211.06124799999998,216.782448,0.015741815022030918
proposed_Q,30,0.9847,0.9847,7.041899999999999,127.99710449999999,135.03900449999998,0.01195122791977097
