round,accuracy,compute_energy,communication_energy,total_energy,carbon_emissions
1,0.0479,0.16269999999999998,3.0917174999999997,3.2544174999999997,0.0003472007710052629
2,0.7776,0.14609999999999998,2.6794884999999997,2.8255885,0.000264375951386927
3,0.8676,0.2014,3.7100609999999996,3.9114609999999996,0.00017226637740702883
4,0.9149,0.20879999999999999,3.7100609999999996,3.9188609999999993,0.000289428409657615
5,0.9424,0.3095,5.565091499999999,5.874591499999999,0.00046849325208769556
6,0.9504,0.2423,4.3284044999999995,4.5707045,0.00030056141681012485
7,0.9587,0.25889999999999996,4.7406334999999995,4.999533499999999,0.00038369370036178143
8,0.9633,0.27099999999999996,4.9467479999999995,5.217747999999999,0.00035185657363755315
9,0.9619,0.2734,4.9467479999999995,5.220147999999999,0.0003173386851133977
10,0.9671,0.1772,3.2978319999999997,3.4750319999999997,0.00027517489443899335
11,0.9697,0.2157,3.9161754999999996,4.1318755,0.0004323488300759184
12,0.9703,0.25179999999999997,4.5345189999999995,4.786319,0.0004319234266268986
13,0.9728,0.24680000000000002,4.5345189999999995,4.781319,0.0004022473399211511
14,0.9742,0.21829999999999997,3.9161754999999996,4.1344755,0.0003868732410035889
15,0.9755,0.19429999999999997,3.5039464999999996,3.6982464999999993,0.0003554615177283803
16,0.9751,0.25889999999999996,4.7406334999999995,4.999533499999999,0.00031951231980002477
17,0.9772,0.2518,4.5345189999999995,4.786319,0.0005083927646835598
18,0.9771,0.319,5.771205999999999,6.090205999999999,0.00043192188677553195
19,0.9775,0.23729999999999998,4.3284044999999995,4.5657045,0.00044543878394929745
20,0.9799,0.2494,4.5345189999999995,4.783918999999999,0.00037401361743638335
21,0.9784,0.2254,4.12229,4.347689999999999,0.0005703756077353924
22,0.9798,0.19410000000000002,3.5039464999999996,3.6980465,0.00041361988391221274
23,0.9819,0.2228,4.12229,4.34509,0.0004243633403085607
24,0.9827,0.29999999999999993,5.358976999999999,5.658976999999999,0.00041294438361850913
25,0.9821,0.26389999999999997,4.7406334999999995,5.004533499999999,0.0006285017669416641
26,0.9834,0.28049999999999997,5.1528624999999995,5.433362499999999,0.0007518638437467826
27,0.9828,0.33109999999999995,5.977320499999999,6.3084205,0.00038846744250977067
28,0.9833,0.1606,2.8856029999999997,3.0462029999999998,0.00033234459673000145
29,0.9835,0.1772,3.2978319999999997,3.4750319999999997,0.0004384040514314034
30,0.9847,0.1917,3.5039464999999996,3.6956464999999996,0.0003318192429295577
